ID;hasło;poziom;kategoria;długość
82;MECZ;łatwy;Sport;4
83;BIEG;łatwy;Sport;4
84;SKOK;łatwy;Sport;4
85;KROK;łatwy;Sport;4
86;ROWER;łatwy;Sport;5
87;KORT;łatwy;Sport;4
88;MATA;łatwy;Sport;4
89;PUCHAR;łatwy;Sport;6
90;GRA;łatwy;Sport;3
91;KLUCZ;łatwy;Przedmioty;5
92;PUDŁO;łatwy;Przedmioty;5
93;ZEGAR;łatwy;Przedmioty;5
94;TALIZMAN;łatwy;Przedmioty;8
95;WOREK;łatwy;Przedmioty;5
96;KOSZ;łatwy;Przedmioty;4
97;PAPIER;łatwy;Przedmioty;6
98;SZNUR;łatwy;Przedmioty;5
99;BUTELKA;łatwy;Przedmioty;7
100;MONETA;łatwy;Przedmioty;6
101;MŁOTEK;łatwy;Narzędzia;6
102;ŚRUBA;łatwy;Narzędzia;5
103;DRUT;łatwy;Narzędzia;4
104;PILNIK;łatwy;Narzędzia;6
105;PIŁA;łatwy;Narzędzia;4
106;PĘDZEL;łatwy;Narzędzia;6
107;KLEJ;łatwy;Narzędzia;4
108;NOŻYCE;łatwy;Narzędzia;6
109;ŚWIDER;łatwy;Narzędzia;6
110;TAŚMA;łatwy;Narzędzia;5
111;NOS;łatwy;Ciało;3
112;RĘKA;łatwy;Ciało;4
113;NOGA;łatwy;Ciało;4
114;ZĄB;łatwy;Ciało;3
115;UCHO;łatwy;Ciało;4
116;POLICZEK;łatwy;Ciało;8
117;CZOŁO;łatwy;Ciało;5
118;BRODA;łatwy;Ciało;5
119;OKO;łatwy;Ciało;3
120;GŁOWA;łatwy;Ciało;5
121;ROLNIK;łatwy;Zawody;6
122;GÓRNIK;łatwy;Zawody;6
123;SZEF;łatwy;Zawody;4
124;STRAŻAK;łatwy;Zawody;7
125;KIEROWCA;łatwy;Zawody;8
126;LEKARZ;łatwy;Zawody;6
127;MALARZ;łatwy;Zawody;6
128;MURARZ;łatwy;Zawody;6
129;KRAWIEC;łatwy;Zawody;7
130;PILOT;łatwy;Zawody;5
131;KLOCKI;łatwy;Zabawki;6
132;PIONEK;łatwy;Zabawki;6
133;AUTO;łatwy;Zabawki;4
134;PIŁKA;łatwy;Zabawki;5
135;KOSTKA;łatwy;Zabawki;6
136;KARTA;łatwy;Zabawki;5
137;POCIĄG;łatwy;Zabawki;6
138;ROBOT;łatwy;Zabawki;5
139;STATEK;łatwy;Zabawki;6
140;LALKA;łatwy;Zabawki;5
141;RADOŚĆ;łatwy;Emocje;6
142;GNIEW;łatwy;Emocje;5
143;STRACH;łatwy;Emocje;6
144;WSTYD;łatwy;Emocje;5
145;ŻAL;łatwy;Emocje;3
146;DUMA;łatwy;Emocje;4
147;SZOK;łatwy;Emocje;3
148;STRES;łatwy;Emocje;5
149;ZŁOŚĆ;łatwy;Emocje;5
150;NUDA;łatwy;Emocje;4
151;DESZCZ;łatwy;Pogoda;6
152;ŚNIEG;łatwy;Pogoda;5
153;WIATR;łatwy;Pogoda;5
154;BURZA;łatwy;Pogoda;5
155;MGŁA;łatwy;Pogoda;4
156;SŁOŃCE;łatwy;Pogoda;6
157;CHMURA;łatwy;Pogoda;6
158;UPAŁ;łatwy;Pogoda;4
159;MRÓZ;łatwy;Pogoda;4
160;GRAD;łatwy;Pogoda;4
161;BĘBEN;łatwy;Muzyka;5
162;FLET;łatwy;Muzyka;4
163;NUTA;łatwy;Muzyka;4
164;GŁOS;łatwy;Muzyka;4
165;ŚPIEW;łatwy;Muzyka;5
166;DŹWIĘK;łatwy;Muzyka;6
167;RURKA;łatwy;Muzyka;5
168;TAKTY;łatwy;Muzyka;5
169;GRANIE;łatwy;Muzyka;6
170;RYTM;łatwy;Muzyka;4
171;NAUKA;łatwy;Pojęcia;5
172;PRACA;łatwy;Pojęcia;5
173;CZAS;łatwy;Pojęcia;4
174;DROGA;łatwy;Pojęcia;5
175;POMOC;łatwy;Pojęcia;5
176;ZABAWA;łatwy;Pojęcia;6
177;ZAKUPY;łatwy;Pojęcia;6
178;CHWILA;łatwy;Pojęcia;6
179;STRONA;łatwy;Pojęcia;6
180;WIEK;łatwy;Pojęcia;4
181;WÓZ;łatwy;Transport;3
182;KOŁO;łatwy;Transport;4
183;SZYNA;łatwy;Transport;5
184;ŁÓDŹ;łatwy;Transport;4
185;BUS;łatwy;Transport;3
186;SANIE;łatwy;Transport;5
187;PROM;łatwy;Transport;4
188;TRASA;łatwy;Transport;5
189;KARETA;łatwy;Transport;6
190;WAGON;łatwy;Transport;5
191;KROWA;średni;Zwierzęta;5
192;KANGUR;średni;Zwierzęta;6
193;BIEDRONKA;średni;Zwierzęta;9
194;SZCZUR;średni;Zwierzęta;6
195;ŻYRAFA;średni;Zwierzęta;6
196;DELFIN;średni;Zwierzęta;6
197;CHOMIK;średni;Zwierzęta;6
198;REKIN;średni;Zwierzęta;5
199;DZIOBAK;średni;Zwierzęta;7
200;BAŻANT;średni;Zwierzęta;6
201;POMIDOR;średni;Jedzenie;7
202;OGÓREK;średni;Jedzenie;6
203;ŚNIADANIE;średni;Jedzenie;9
204;KOLACJA;średni;Jedzenie;7
205;OBIAD;średni;Jedzenie;5
206;SŁODKI;średni;Jedzenie;6
207;SŁONY;średni;Jedzenie;5
208;KWAŚNY;średni;Jedzenie;6
209;GORZKI;średni;Jedzenie;6
210;OSTRY;średni;Jedzenie;5
211;TALERZ;średni;Dom;6
212;SZKLANKA;średni;Dom;8
213;LODÓWKA;średni;Dom;7
214;KORYTARZ;średni;Dom;8
215;BALKON;średni;Dom;6
216;PIWNICA;średni;Dom;7
217;STRYCH;średni;Dom;6
218;DYWAN;średni;Dom;5
219;LUSTRO;średni;Dom;6
220;PODUSZKA;średni;Dom;8
221;WODOSPAD;średni;Przyroda;8
222;WULKAN;średni;Przyroda;7
223;PÓŁWYSEP;średni;Przyroda;8
224;STRUMIŃ;średni;Przyroda;8
225;JASKINIA;średni;Przyroda;8
226;DOLINA;średni;Przyroda;6
227;KORZEŃ;średni;Przyroda;6
228;GÓRA;średni;Przyroda;4
229;BAGNO;średni;Przyroda;5
230;STAW;średni;Przyroda;4
231;KOMPUTER;średni;Technika;8
232;DRUKARKA;średni;Technika;8
233;APARAT;średni;Technika;6
234;SŁUCHAWKI;średni;Technika;9
235;ŁADOWARKA;średni;Technika;9
236;PROJEKTOR;średni;Technika;9
237;TELEWIZOR;średni;Technika;9
238;PROCESOR;średni;Technika;8
239;MIKROFON;średni;Technika;8
240;ZASILACZ;średni;Technika;8
241;PRZECINEK;średni;Język;9
242;PYTAJNIK;średni;Język;8
243;WYKRZYKNIK;średni;Język;10
244;SYLABA;średni;Język;6
245;GRAMATYKA;średni;Język;9
246;ALFABET;średni;Język;7
247;DYKTANDO;średni;Język;8
248;AKCENT;średni;Język;6
249;SŁOWNIK;średni;Język;7
250;CZYTANIE;średni;Język;8
251;TABLICA;średni;Szkoła;7
252;DŁUGOPIS;średni;Szkoła;8
253;LINIJKA;średni;Szkoła;7
254;MARKER;średni;Szkoła;6
255;KOREKTOR;średni;Szkoła;9
256;CYRKIEL;średni;Szkoła;7
257;DZIENNIK;średni;Szkoła;8
258;PIÓRNIK;średni;Szkoła;7
259;EKIERKA;średni;Szkoła;7
260;LEKCJA;średni;Szkoła;6
261;SPODNIE;średni;Ubiór;7
262;KRAWAT;średni;Ubiór;6
263;KOSZULA;średni;Ubiór;7
264;SPÓDNICA;średni;Ubiór;8
265;RĘKAWICZKI;średni;Ubiór;10
266;KAMIZELKA;średni;Ubiór;9
267;SKARPETY;średni;Ubiór;8
268;GARNITUR;średni;Ubiór;8
269;SUKIENKA;średni;Ubiór;8
270;ŻAKIET;średni;Ubiór;7
271;BIEGANIE;średni;Sport;8
272;BRAMKA;średni;Sport;6
273;RAKIETA;średni;Sport;7
274;NARTY;średni;Sport;5
275;SKAKANKA;średni;Sport;8
276;ROWERZYSTA;średni;Sport;10
277;STOPER;średni;Sport;6
278;KOLARSTWO;średni;Sport;9
279;SIATKÓWKA;średni;Sport;9
280;BRAMKARZ;średni;Sport;8
281;NOŻYCZKI;średni;Przedmioty;8
282;PUDEŁKO;średni;Przedmioty;8
283;ZEGAREK;średni;Przedmioty;7
284;LATARKA;średni;Przedmioty;7
285;GWOŹDŹ;średni;Przedmioty;6
286;MŁOTEK;średni;Przedmioty;6
287;DRABINA;średni;Przedmioty;7
288;PORTFEL;średni;Przedmioty;7
289;SZKATUŁKA;średni;Przedmioty;9
290;OKULARY;średni;Przedmioty;7
291;KOMPAS;średni;Narzędzia;6
292;WIERTARKA;średni;Narzędzia;9
293;KLESZCZE;średni;Narzędzia;8
294;SEKATOR;średni;Narzędzia;7
295;SZLIFIERKA;średni;Narzędzia;10
296;LUTOWNICA;średni;Narzędzia;9
297;POZIOMICA;średni;Narzędzia;9
298;SIEKIERA;średni;Narzędzia;8
299;IMADŁO;średni;Narzędzia;6
300;KLUCZ;średni;Narzędzia;5
301;BRZUCH;średni;Ciało;6
302;PLECY;średni;Ciało;5
303;KOLANO;średni;Ciało;6
304;ŁOKIEĆ;średni;Ciało;6
305;PAZNOKIEĆ;średni;Ciało;9
306;PIĘTA;średni;Ciało;5
307;PALEC;średni;Ciało;5
308;RAMIĘ;średni;Ciało;5
309;SZYJA;średni;Ciało;5
310;UDA;średni;Ciało;3
311;POLICJANT;średni;Zawody;9
312;STRAŻAK;średni;Zawody;7
313;PIEKARZ;średni;Zawody;7
314;KUCHARZ;średni;Zawody;7
315;MARYNARZ;średni;Zawody;8
316;NAUCZYCIEL;średni;Zawody;10
317;KOLOROWANKA;średni;Zabawa;12
318;PRAWNIK;średni;Zawody;7
319;KOSMONAUTA;średni;Zawody;10
320;ARCHITEKT;średni;Zawody;9
321;PUZZLE;średni;Zabawa;6
322;HUŚTAWKA;średni;Zabawa;8
323;GRA W KARTY;średni;Zabawa;11
324;LATAWIEC;średni;Zabawa;8
325;DOMINO;średni;Zabawa;6
326;WARCABY;średni;Zabawa;7
327;KARUZELA;średni;Zabawa;8
328;PIASKOWNICA;średni;Zabawa;11
329;PROCA;średni;Zabawa;5
330;KOLEJKA;średni;Zabawa;7
331;ZACHWYT;średni;Emocje;7
332;SPOKÓJ;średni;Emocje;6
333;SMUTEK;średni;Emocje;6
334;ZŁOŚĆ;średni;Emocje;5
335;TĘSKNOTA;średni;Emocje;8
336;RADOŚĆ;średni;Emocje;6
337;ZAZDROŚĆ;średni;Emocje;8
338;ROZPACZ;średni;Emocje;7
339;NUDA;średni;Emocje;4
340;ŻAL;średni;Emocje;3
341;TĘCZA;średni;Pogoda;5
342;WICHURA;średni;Pogoda;7
343;MROŹNY;średni;Pogoda;6
344;UPALNY;średni;Pogoda;6
345;PRZELOTNY;średni;Pogoda;9
346;WIETRZNY;średni;Pogoda;8
347;SZRON;średni;Pogoda;5
348;ZACHÓD SŁOŃCA;średni;Pogoda;13
349;ZACHMURZENIE;średni;Pogoda;12
350;BŁYSK;średni;Pogoda;5
351;GITARA;średni;Muzyka;6
352;PIANINO;średni;Muzyka;7
353;AKORDEON;średni;Muzyka;8
354;SAKSOFON;średni;Muzyka;8
355;PUZON;średni;Muzyka;5
356;BĘBENEK;średni;Muzyka;7
357;TRĄBKA;średni;Muzyka;6
358;HARFA;średni;Muzyka;5
359;SKRZYPCE;średni;Muzyka;8
360;PERKUSJA;średni;Muzyka;9
361;PRZYJAŹŃ;średni;Pojęcia;8
362;WOLNOŚĆ;średni;Pojęcia;7
363;SUKCES;średni;Pojęcia;6
364;PODRÓŻ;średni;Pojęcia;6
365;PRZYGODA;średni;Pojęcia;8
366;WIEDZA;średni;Pojęcia;6
367;PAMIĘĆ;średni;Pojęcia;6
368;POMYSŁ;średni;Pojęcia;6
369;ZAKRĘT;średni;Pojęcia;6
370;SYTUACJA;średni;Pojęcia;8
371;HULAJNOGA;średni;Transport;9
372;SAMOLOT;średni;Transport;7
373;AUTOBUS;średni;Transport;7
374;MOTOCYKL;średni;Transport;8
375;HELIKOPTER;średni;Transport;10
376;TRAKTOR;średni;Transport;7
377;TRAMWAJ;średni;Transport;7
378;CIĘŻARÓWKA;średni;Transport;10
379;SKUTER;średni;Transport;6
380;METRO;średni;Transport;5
381;CHRABĄSZCZ;trudny;Zwierzęta;10
382;HIPOPOTAM;trudny;Zwierzęta;9
383;GŻEGŻÓŁKA;trudny;Zwierzęta;9
384;CHRZĄSZCZ;trudny;Zwierzęta;8
385;MRÓWKOJAD;trudny;Zwierzęta;9
386;KAŁAMARNICA;trudny;Zwierzęta;11
387;SKORUPIAK;trudny;Zwierzęta;9
388;WIELORYB;trudny;Zwierzęta;9
389;WIELBŁĄD;trudny;Zwierzęta;8
390;JASZCZURKA;trudny;Zwierzęta;10
391;ZAPIEKANKA;trudny;Jedzenie;10
392;MANDARYNKA;trudny;Jedzenie;10
393;KREM CZEKOLADOWY;trudny;Jedzenie;16
394;WOŁOWINA;trudny;Jedzenie;8
395;KALAFIOR;trudny;Jedzenie;8
396;ROZMARYN;trudny;Jedzenie;8
397;CIELĘCINA;trudny;Jedzenie;9
398;PRZYPRAWA;trudny;Jedzenie;9
399;PRZEPIS;trudny;Jedzenie;7
400;NALEŚNIKI;trudny;Jedzenie;9
401;KLIMATYZATOR;trudny;Dom;13
402;ŻYRANDOL;trudny;Dom;8
403;WYPOSAŻENIE;trudny;Dom;11
404;ZAMRAŻALNIK;trudny;Dom;11
405;SPIŻARNIA;trudny;Dom;9
406;KLIMATYZACJA;trudny;Dom;12
407;PRALKA;trudny;Dom;6
408;WYCIERACZKA;trudny;Dom;11
409;KRAJALNICA;trudny;Dom;10
410;KORYTARZ;trudny;Dom;8
411;ŹDŹBŁO;trudny;Przyroda;5
412;GÓRA LODOWA;trudny;Przyroda;11
413;FOTOSYNTEZA;trudny;Przyroda;12
414;PRZEZIMOWANIE;trudny;Przyroda;13
415;EKOSYSTEM;trudny;Przyroda;9
416;BIORÓŻNORODNOŚĆ;trudny;Przyroda;15
417;GLEBOZNAWSTWO;trudny;Przyroda;12
418;UKORZENIENIE;trudny;Przyroda;13
419;ZALESIENIE;trudny;Przyroda;10
420;PROMIENIOWANIE;trudny;Przyroda;14
421;ELEKTROMAGNES;trudny;Technika;13
422;TRANSFORMATOR;trudny;Technika;14
423;AKUMULATOR;trudny;Technika;11
424;PÓŁPRZEWODNIK;trudny;Technika;13
425;KONSTRUKCJA;trudny;Technika;12
426;CZĘSTOTLIWOŚĆ;trudny;Technika;14
427;STRUMIEŃ DANYCH;trudny;Technika;16
428;ŚWIATŁOWÓD;trudny;Technika;10
429;PRZEKAŹNIK;trudny;Technika;10
430;FOTOWOLTAIKA;trudny;Technika;13
431;PRZECIWSTAWNY;trudny;Język;13
432;RÓWNOWAŻNIK;trudny;Język;11
433;ZAIMEK;trudny;Język;6
434;ZAPOŻYCZENIE;trudny;Język;13
435;WIELOZNACZNOŚĆ;trudny;Język;14
436;FRAZEOLOGIZM;trudny;Język;13
437;SŁOWOTWÓRSTWO;trudny;Język;13
438;INTERPUNKCJA;trudny;Język;12
439;OKOLICZNIK;trudny;Język;10
440;KOPIOWANIE;trudny;Język;10
441;PROSTOPADŁOŚCIAN;trudny;Szkoła;16
442;ARCHITEKTURA;trudny;Szkoła;12
443;PRZYBORY;trudny;Szkoła;8
444;UPOMNIENIE;trudny;Szkoła;10
445;KONCENTRACJA;trudny;Szkoła;13
446;TEMPERÓWKA;trudny;Szkoła;10
447;PODRĘCZNIK;trudny;Szkoła;10
448;LEGITYMACJA;trudny;Szkoła;11
449;KĄTOMIERZ;trudny;Szkoła;9
450;DZIENNIK;trudny;Szkoła;8
451;PRZECIWSŁONECZNY;trudny;Ubiór;16
452;RĘKAWICZKI;trudny;Ubiór;10
453;KAMIZELKA;trudny;Ubiór;9
454;GARNITUR;trudny;Ubiór;8
455;SPODNIE;trudny;Ubiór;7
456;KOSZULA;trudny;Ubiór;7
457;PŁASZCZ;trudny;Ubiór;7
458;SPÓDNICA;trudny;Ubiór;8
459;SKARPETY;trudny;Ubiór;8
460;SUKIENKA;trudny;Ubiór;8
461;LEKKOATLETYKA;trudny;Sport;13
462;SZERMIERKA;trudny;Sport;10
463;KOSZYKÓWKA;trudny;Sport;10
464;GIMNASTYKA;trudny;Sport;10
465;WIOŚLARSTWO;trudny;Sport;11
466;PŁYWANIE;trudny;Sport;8
467;KULTURYSTYKA;trudny;Sport;13
468;SANECZKARSTWO;trudny;Sport;13
469;NARTOROWER;trudny;Sport;10
470;ALPINIZM;trudny;Sport;8
471;ŚRUBOKRĘT;trudny;Przedmioty;9
472;KALEJDOSKOP;trudny;Przedmioty;11
473;NAMIOT;trudny;Przedmioty;6
474;NOŻYCZKI;trudny;Przedmioty;8
475;PUDEŁKO;trudny;Przedmioty;8
476;ZEGAREK;trudny;Przedmioty;7
477;LATARKA;trudny;Przedmioty;7
478;DRABINA;trudny;Przedmioty;7
479;WIADRO;trudny;Przedmioty;6
480;NARZĘDZIOWNIK;trudny;Przedmioty;13
481;KLUCZ FRANCUSKI;trudny;Narzędzia;15
482;WIERTARKA;trudny;Narzędzia;9
483;KLESZCZE;trudny;Narzędzia;8
484;BRZESZCZOT;trudny;Narzędzia;10
485;LUTOWNICA;trudny;Narzędzia;9
486;POZIOMICA;trudny;Narzędzia;9
487;SIEKIERA;trudny;Narzędzia;8
488;IMADŁO;trudny;Narzędzia;6
489;KOMPAS;trudny;Narzędzia;6
490;SEKATOR;trudny;Narzędzia;7
491;NADGARSTEK;trudny;Ciało;10
492;KRĘGOSŁUP;trudny;Ciało;10
493;PODNIEBIENIE;trudny;Ciało;12
494;MÓŻDŻEK;trudny;Ciało;7
495;OBOJCZYK;trudny;Ciało;8
496;PISZCZEL;trudny;Ciało;8
497;MIEŚNIE;trudny;Ciało;7
498;ŚCIĘGNO;trudny;Ciało;7
499;NASKÓREK;trudny;Ciało;8
500;KRWIOBIEG;trudny;Ciało;9
501;PIELĘGNIARKA;trudny;Zawody;12
502;PRZEDSIĘBIORCA;trudny;Zawody;15
503;PROGRAMISTA;trudny;Zawody;12
504;DZIENNIKARZ;trudny;Zawody;11
505;KONTROLER;trudny;Zawody;9
506;PRODUCENT;trudny;Zawody;9
507;NAUKOWIEC;trudny;Zawody;9
508;TŁUMACZ;trudny;Zawody;8
509;INŻYNIER;trudny;Zawody;8
510;BIBLIOTEKARZ;trudny;Zawody;13
511;GRZECHOTKA;trudny;Zabawa;10
512;PIASKOWNICA;trudny;Zabawa;11
513;ŁAMIGŁÓWKA;trudny;Zabawa;10
514;KRZYŻÓWKA;trudny;Zabawa;9
515;KOLOROWANKA;trudny;Zabawa;12
516;UKŁADANKA;trudny;Zabawa;9
517;ZGADYWANKA;trudny;Zabawa;10
518;MALOWANKA;trudny;Zabawa;9
519;SZYFROWANIE;trudny;Zabawa;12
520;KALEJDOSKOP;trudny;Zabawa;11
521;ROZCZAROWANIE;trudny;Emocje;14
522;PRZYGNĘBIENIE;trudny;Emocje;13
523;ZANIEPOKOJENIE;trudny;Emocje;14
524;PODEKSCYTOWANIE;trudny;Emocje;15
525;WŚCIEKŁOŚĆ;trudny;Emocje;10
526;BEZRADNOŚĆ;trudny;Emocje;11
527;OBOJĘTNOŚĆ;trudny;Emocje;10
528;SATYSFAKCJA;trudny;Emocje;12
529;WZRUSZENIE;trudny;Emocje;10
530;ZAKŁOPOTANIE;trudny;Emocje;12
531;POŁUDNIOWY;trudny;Pogoda;10
532;ATMOSFERA;trudny;Pogoda;10
533;KONDENSACJA;trudny;Pogoda;11
534;GRADOBICIE;trudny;Pogoda;10
535;ZACHMURZENIE;trudny;Pogoda;12
536;BŁYSKAWICA;trudny;Pogoda;10
537;WICHURA;trudny;Pogoda;7
538;SZRON;trudny;Pogoda;5
539;TORNADO;trudny;Pogoda;7
540;MROŹNY;trudny;Pogoda;6
